Districts,Q2-15 Total Number of Stores,Q2-15 Franchise Stores,Q2-15 General Stores,Q2-16 Total Number of Stores,Q2-16 Franchise Stores,Q2-16 General Stores,Q2-17 Total Number of Stores,Q2-17 Franchise Stores,Q2-17 General Stores,Q2-18 Total Number of Stores,Q2-18 Franchise Stores,Q2-18 General Stores,Q2-19 Total Number of Stores,Q2-19 Franchise Stores,Q2-19 General Stores,Q2-15 Long-lived Population (persons per ha),Q2-15 Permanent Population of Building Units (persons per ha),Q2-15 Residential Population (persons per ha),Q2-15 Work Population (persons per ha),Q2-16 Long-lived Population (persons per ha),Q2-16 Permanent Population of Building Units (persons per ha),Q2-16 Residential Population (persons per ha),Q2-16 Work Population (persons per ha),Q2-17 Long-lived Population (persons per ha),Q2-17 Permanent Population of Building Units (persons per ha),Q2-17 Residential Population (persons per ha),Q2-17 Work Population (persons per ha),Q2-18 Long-lived Population (persons per ha),Q2-18 Permanent Population of Building Units (persons per ha),Q2-18 Residential Population (persons per ha),Q2-18 Work Population (persons per ha),Q2-19 Long-lived Population (persons per ha),Q2-19 Permanent Population of Building Units (persons per ha),Q2-19 Residential Population (persons per ha),Q2-19 Work Population (persons per ha),Q2-15 Number of Households,Q2-16 Number of Households,Q2-17 Number of Households,Q2-18 Number of Households,Q2-19 Number of Households,Q2-15 Monthly rent per 3.3 meters squared (KRW),Q2-16 Monthly rent per 3.3 meters squared (KRW),Q2-17 Monthly rent per 3.3 meters squared (KRW),Q2-18 Monthly rent per 3.3 meters squared (KRW),Q2-19 Monthly rent per 3.3 meters squared (KRW),Q2-15 Business Openings,Q2-15 Business Closing,Q2-15 Opening Rate (Percent),Q2-15 Closing Rate (Percent),Q2-16 Business Openings,Q2-16 Business Closing,Q2-16 Opening Rate (Percent),Q2-16 Closing Rate (Percent),Q2-17 Business Openings,Q2-17 Business Closing,Q2-17 Opening Rate (Percent),Q2-17 Closing Rate (Percent),Q2-18 Business Openings,Q2-18 Business Closing,Q2-18 Opening Rate (Percent),Q2-18 Closing Rate (Percent),Q2-19 Business Openings,Q2-19 Business Closing,Q2-19 Opening Rate (Percent),Q2-19 Closing Rate (Percent),,,,,
Seoul (Overall),572646.0,39103.0,533543.0,576804.0,40746.0,536058.0,581955.0,42004.0,539951.0,572956.0,41731.0,531225.0,563435.0,40773.0,522662.0,,,151.0,74.0,,,145.0,77.0,38062.0,80998.0,163.0,79.0,37954.0,80300.0,160.0,81.0,36720.0,78098.0,160.0,83.0,3814226.0,3797086.0,4201643.0,4194825.0,4231225.0,95907.0,99618.0,107896.0,115438.0,117827.0,7855.0,7672.0,5.4,5.3,8000.0,7353.0,5.5,5.1,7576.0,7232.0,5.3,5.0,6126.0,6785.0,4.3,4.8,6267.0,6380.0,4.4,4.5,,,,,
Jongno-gu,25328.0,1340.0,23988.0,25260.0,1396.0,23864.0,25385.0,1426.0,23959.0,25108.0,1415.0,23693.0,24850.0,1375.0,23475.0,,,64.0,117.0,,,62.0,125.0,23153.0,63926.0,65.0,132.0,22528.0,59669.0,64.0,130.0,21573.0,57558.0,64.0,129.0,71503.0,69626.0,73051.0,72651.0,73303.0,149187.0,145988.0,178383.0,180495.0,191292.0,320.0,270.0,4.5,3.8,309.0,294.0,4.3,4.1,304.0,287.0,4.3,4.1,298.0,324.0,4.3,4.6,259.0,259.0,3.7,3.7,,,,,
Jung-gu,43103.0,1656.0,41447.0,43013.0,1704.0,41309.0,42893.0,1744.0,41149.0,41218.0,1765.0,39453.0,39181.0,1709.0,37472.0,,,116.0,502.0,,,110.0,517.0,52689.0,146352.0,125.0,502.0,51879.0,140017.0,120.0,508.0,50545.0,139797.0,120.0,531.0,55623.0,53243.0,59373.0,58223.0,58403.0,191428.0,197421.0,213080.0,216588.0,214810.0,221.0,246.0,3.3,3.6,256.0,236.0,3.8,3.5,290.0,274.0,4.3,4.1,223.0,264.0,3.4,4.0,229.0,227.0,3.4,3.4,,,,,
Yongsan-gu,18978.0,973.0,18005.0,19089.0,1041.0,18048.0,19084.0,1046.0,18038.0,18911.0,1051.0,17860.0,18593.0,1026.0,17567.0,,,101.0,65.0,,,97.0,72.0,26946.0,59415.0,107.0,76.0,26502.0,59079.0,106.0,82.0,26079.0,57808.0,106.0,83.0,98008.0,96091.0,106534.0,106244.0,107029.0,99730.0,98958.0,110410.0,110597.0,116938.0,254.0,211.0,5.4,4.5,249.0,224.0,5.1,4.6,254.0,226.0,5.1,4.5,220.0,233.0,4.4,4.7,185.0,205.0,3.7,4.1,,,,,
Seongdong-gu,15712.0,1051.0,14661.0,15953.0,1108.0,14845.0,16422.0,1159.0,15263.0,16505.0,1187.0,15318.0,16417.0,1174.0,15243.0,,,158.0,97.0,,,150.0,101.0,38739.0,90786.0,183.0,108.0,39429.0,91745.0,184.0,114.0,39011.0,90981.0,186.0,116.0,111810.0,108776.0,130982.0,133950.0,136930.0,79230.0,87878.0,93656.0,105914.0,106550.0,190.0,181.0,5.1,4.8,226.0,177.0,5.9,4.7,210.0,155.0,5.4,4.0,199.0,177.0,5.0,4.5,203.0,163.0,5.0,4.0,,,,,
Gwangjin-gu,18906.0,1462.0,17444.0,19094.0,1531.0,17563.0,19188.0,1558.0,17630.0,18946.0,1506.0,17440.0,18640.0,1462.0,17178.0,,,201.0,42.0,,,197.0,45.0,52845.0,98336.0,201.0,46.0,54382.0,100621.0,199.0,45.0,52209.0,96502.0,201.0,46.0,155644.0,154810.0,158566.0,160030.0,162119.0,83530.0,90241.0,95163.0,91566.0,99520.0,284.0,273.0,5.5,5.2,310.0,289.0,5.9,5.5,261.0,267.0,5.0,5.2,225.0,258.0,4.4,5.1,210.0,217.0,4.1,4.2,,,,,
Dongdaemun-gu,22395.0,1335.0,21060.0,22360.0,1393.0,20967.0,22262.0,1411.0,20851.0,21782.0,1366.0,20416.0,21184.0,1334.0,19850.0,,,234.0,58.0,,,222.0,61.0,70261.0,120516.0,243.0,63.0,70361.0,120896.0,237.0,63.0,66651.0,116013.0,237.0,65.0,149304.0,146574.0,159490.0,158664.0,159751.0,75951.0,73394.0,77662.0,99316.0,92872.0,290.0,274.0,5.4,5.1,261.0,244.0,4.9,4.6,227.0,246.0,4.3,4.7,211.0,249.0,4.2,4.9,207.0,210.0,4.1,4.2,,,,,
Jungnang-gu,16543.0,1123.0,15420.0,16624.0,1154.0,15470.0,16580.0,1173.0,15407.0,16230.0,1176.0,15054.0,16033.0,1161.0,14872.0,,,214.0,27.0,,,208.0,28.0,53560.0,91360.0,224.0,28.0,53171.0,90641.0,219.0,29.0,51034.0,87301.0,220.0,29.0,164981.0,164930.0,177928.0,177924.0,179738.0,64429.0,70002.0,75524.0,70544.0,78050.0,276.0,286.0,6.0,6.3,252.0,236.0,5.5,5.2,211.0,256.0,4.8,5.8,212.0,219.0,4.9,5.0,192.0,209.0,4.4,4.8,,,,,
Seongbuk-gu,17920.0,1432.0,16488.0,17879.0,1467.0,16412.0,17782.0,1494.0,16288.0,17489.0,1473.0,16016.0,17133.0,1437.0,15696.0,,,160.0,23.0,,,152.0,25.0,44600.0,82745.0,181.0,26.0,43877.0,82171.0,177.0,27.0,42880.0,79920.0,176.0,28.0,167084.0,161607.0,188014.0,185478.0,185793.0,77528.0,78722.0,82331.0,91099.0,93962.0,283.0,283.0,5.7,5.7,251.0,263.0,5.1,5.3,217.0,199.0,4.4,4.0,224.0,256.0,4.6,5.3,217.0,230.0,4.5,4.7,,,,,
Gangbuk-gu,13618.0,896.0,12722.0,13684.0,949.0,12735.0,13766.0,993.0,12773.0,13487.0,1001.0,12486.0,13240.0,984.0,12256.0,,,132.0,13.0,,,126.0,14.0,37390.0,62328.0,138.0,15.0,36989.0,61814.0,136.0,15.0,35157.0,59513.0,135.0,16.0,130733.0,129877.0,141376.0,142671.0,143242.0,68779.0,74469.0,84919.0,80861.0,88452.0,263.0,286.0,6.4,6.9,234.0,214.0,5.7,5.2,244.0,233.0,6.0,5.7,163.0,200.0,4.1,5.1,171.0,183.0,4.4,4.7,,,,,
